,state,district,year,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
CA_19_2018,CA,19,2018,49.9,9.3,14.5,36.7,1.8,9.0,36.5,21.6,3.7,86.1,37.2,56.0,3.2,4.5,5.2,9.1,792000,101427,7.5,0.5681577066478785
CA_20_2018,CA,20,2018,49.7,11.9,13.9,34.9,2.1,9.7,28.0,36.8,4.7,86.5,77.5,48.8,3.8,1.7,8.0,11.5,608700,73076,8.0,0.3705929147807
CA_21_2018,CA,21,2018,47.1,11.0,16.5,30.0,2.3,7.6,8.3,47.4,3.6,87.0,90.7,63.1,5.3,0.7,10.0,24.7,181800,42621,21.5,0.4119627196833983
CA_22_2018,CA,22,2018,50.9,9.8,14.3,32.2,2.4,9.3,25.2,45.1,5.8,85.5,65.1,37.7,4.5,0.4,6.3,17.7,262500,57667,17.6,0.2104820734891422
CA_23_2018,CA,23,2018,48.8,9.1,14.6,34.5,2.8,11.0,20.7,34.1,7.1,85.3,63.4,31.2,5.1,0.7,5.7,17.8,238600,55680,12.7,0.15224240550359433
CA_24_2018,CA,24,2018,49.8,15.6,12.6,36.0,2.7,10.6,34.9,23.0,6.8,81.6,71.6,31.5,3.1,1.6,8.0,13.6,572300,71356,6.3,0.21354474136460835
CA_25_2018,CA,25,2018,49.6,9.5,13.5,35.8,2.0,8.8,27.6,25.4,5.5,89.8,54.7,32.0,3.6,2.1,5.9,13.2,461800,76866,7.4,0.2352660287294255
CA_26_2018,CA,26,2018,50.6,9.6,13.2,38.0,2.1,9.6,33.6,41.2,6.6,87.5,68.8,40.4,3.4,0.8,9.2,9.3,591700,82029,7.7,0.28474658364819166
CA_27_2018,CA,27,2018,51.2,8.1,14.4,41.2,1.4,9.0,43.2,17.4,3.4,90.6,21.4,57.0,2.6,3.9,5.8,10.3,699800,77629,3.2,0.6694219872255434
CA_28_2018,CA,28,2018,49.9,7.5,19.3,40.3,2.5,17.6,45.2,33.1,2.4,89.8,26.9,52.1,4.1,6.4,7.9,13.8,827900,65849,6.0,0.6471472056105376
CA_29_2018,CA,29,2018,50.2,10.0,16.7,35.3,2.1,11.5,19.8,35.8,2.5,92.7,73.7,72.0,3.6,6.4,10.9,16.4,489000,53347,11.1,0.7417165697887231
CA_30_2018,CA,30,2018,50.6,8.2,15.9,39.3,2.5,12.2,45.1,22.3,4.0,88.0,33.4,45.3,4.1,3.9,6.2,9.4,691400,81276,4.2,0.502653801639044
CA_31_2018,CA,31,2018,51.1,10.5,16.5,33.0,2.3,7.9,25.1,36.6,5.1,86.0,65.0,40.5,5.0,1.5,7.2,15.7,359900,61631,14.8,0.2446752398448663
CA_32_2018,CA,32,2018,50.9,10.5,15.0,37.1,1.9,7.0,22.7,41.4,3.0,92.4,58.6,65.7,3.8,3.5,8.3,11.8,478700,70390,7.5,0.6043038484252622
CA_33_2018,CA,33,2018,52.1,9.0,13.9,41.2,2.1,14.6,63.9,14.2,4.0,83.6,17.3,28.3,3.2,2.6,3.5,7.9,1191600,105200,1.8,0.2953342573639426
