Poll,Date,Sample,Republicans,Democrats,Spread
RasmussenRasmussen,7/7 - 7/13,7000 LV,36,46,Democrats +10
Pew ResearchPew Research,6/18 - 6/29,1574 RV,37,52,Democrats +15
Democracy Corps (D)Democracy Corps (D),6/22 - 6/25,2000 LV,42,50,Democrats +8
RasmussenRasmussen,6/16 - 6/22,7000 LV,34,47,Democrats +13
USA Today/GallupUSA Today/Gallup,6/15 - 6/19,1310 LV,42,52,Democrats +10
ABC News/Wash PostABC News/Wash Post,6/12 - 6/15,1125 A,38,53,Democrats +15
RasmussenRasmussen,6/9 - 6/15,7000 LV,34,48,Democrats +14
RasmussenRasmussen,6/2 - 6/8,7423 LV,34,47,Democrats +13
RasmussenRasmussen,5/21 - 5/22,800 LV,39,47,Democrats +8
Democracy Corps (D)Democracy Corps (D),5/13 - 5/15,1014 LV,42,52,Democrats +10
BattlegroundBattleground,5/11 - 5/14,1018 LV,40,49,Democrats +9
RasmussenRasmussen,4/28 - 4/29,800 LV,41,46,Democrats +5
CBS News/NY TimesCBS News/NY Times,4/25 - 4/29,956 RV,32,50,Democrats +18
NBC News/Wall St. Jrnl*NBC News/Wall St. Jrnl*,4/25 - 4/28,1006 RV,34,49,Democrats +15
RasmussenRasmussen,4/4 - 4/6,--,37,43,Democrats +6
Democracy Corps (D)Democracy Corps (D),3/25 - 3/27,--,40,53,Democrats +13
RasmussenRasmussen,3/12 - 3/13,--,40,44,Democrats +4
NBC News/Wall St. Jrnl*NBC News/Wall St. Jrnl*,3/7 - 3/10,--,35,49,Democrats +14
RasmussenRasmussen,1/14 - 1/15,--,38,43,Democrats +5
USA Today/GallupUSA Today/Gallup,12/14 - 12/16,--,40,53,Democrats +13
BattlegroundBattleground,12/9 - 12/12,--,41,46,Democrats +5
RasmussenRasmussen,12/7 - 12/9,--,36,46,Democrats +10
NBC News/Wall St. Jrnl*NBC News/Wall St. Jrnl*,11/1 - 11/5,--,37,46,Democrats +9
RasmussenRasmussen,11/2 - 11/4,--,35,46,Democrats +11
CNNCNN,11/2 - 11/4,--,42,53,Democrats +11
RasmussenRasmussen,10/4 - 10/4,--,36,48,Democrats +12
NBC News/Wall St. Jrnl*NBC News/Wall St. Jrnl*,9/10 - 9/12,--,35,47,Democrats +12
RasmussenRasmussen,9/4 - 9/4,--,32,50,Democrats +18
BattlegroundBattleground,7/15 - 7/18,--,40,48,Democrats +8
RasmussenRasmussen,7/16 - 7/17,--,37,46,Democrats +9
CNNCNN,6/22 - 6/24,--,41,53,Democrats +12
