California 22,R+8,Devin Nunes,Republican,2002,Incumbent re-elected.,√ Devin Nunes (Republican)[69]
,,,,,,Andrew Janz (Democratic)[69]
California 23,R+14,Kevin McCarthy,Republican,2006,Incumbent re-elected.,√ Kevin McCarthy (Republican)[69]
,,,,,,Tatiana Matta (Democratic)[69]
California 24,D+7,Salud Carbajal,Democratic,2016,Incumbent re-elected.,√ Salud Carbajal (Democratic)[69]
,,,,,,Justin Fareed (Republican)[69]
California 25,EVEN,Steve Knight,Republican,2014,Incumbent lost re-election.,√ Katie Hill (Democratic)[69]
,,,,,New member elected.,Steve Knight (Republican)[69]
,,,,,Democratic gain.,
California 26,D+7,Julia Brownley,Democratic,2012,Incumbent re-elected.,√ Julia Brownley (Democratic)[69]
,,,,,,Antonio Sabàto Jr. (Republican)[69]
California 27,D+16,Judy Chu,Democratic,2009 (Special),Incumbent re-elected.,√ Judy Chu (Democratic)[69]
,,,,,,Bryan Witt (Democratic)[69]
California 28,D+23,Adam Schiff,Democratic,2000,Incumbent re-elected.,√ Adam Schiff (Democratic)[69]
,,,,,,Johnny Nalbandian (Republican)[69]
California 29,D+29,Tony Cárdenas,Democratic,2012,Incumbent re-elected.,√ Tony Cárdenas (Democratic)[69]
,,,,,,Benito Bernal (Republican)[69]
California 30,D+18,Brad Sherman,Democratic,1996,Incumbent re-elected.,√ Brad Sherman (Democratic)[69]
,,,,,,Mark Reed (Republican)[69]
California 31,D+8,Pete Aguilar,Democratic,2014,Incumbent re-elected.,√ Pete Aguilar (Democratic)[69]
,,,,,,Sean Flynn (Republican)[69]
California 32,D+17,Grace Napolitano,Democratic,1998,Incumbent re-elected.,√ Grace Napolitano (Democratic)[69]
,,,,,,Joshua Scott (Republican)[71]
California 33,D+16,Ted Lieu,Democratic,2014,Incumbent re-elected.,√ Ted Lieu (Democratic)[69]
,,,,,,Kenneth Wright (Republican)[69]
California 34,D+35,Jimmy Gomez,Democratic,2017 (Special),Incumbent re-elected.,√ Jimmy Gomez (Democratic)[69]
,,,,,,Kenneth Mejia (Green)[69]
California 35,D+19,Norma Torres,Democratic,2014,Incumbent re-elected.,√ Norma Torres (Democratic)[69]
,,,,,,Christian Valiente (Republican)[69]
California 36,D+2,Raul Ruiz,Democratic,2012,Incumbent re-elected.,√ Raul Ruiz (Democratic)[69]
,,,,,,Kimberlin Brown Pelzer (Republican)[69]
California 37,D+37,Karen Bass,Democratic,2010,Incumbent re-elected.,√ Karen Bass (Democratic)[69]
,,,,,,Ron Bassilian (Republican)[69]
California 38,D+17,Linda Sánchez,Democratic,2002,Incumbent re-elected.,√ Linda Sánchez (Democratic)[69]
,,,,,,Ryan Downing (Republican)[69]
California 39,EVEN,Ed Royce,Republican,1992,Incumbent retired.,√ Gil Cisneros (Democratic)[69]
,,,,,New member elected.,Young Kim (Republican)[69]
,,,,,Democratic gain.,
California 40,D+33,Lucille Roybal-Allard,Democratic,1992,Incumbent re-elected.,√ Lucille Roybal-Allard (Democratic)[69]
,,,,,,Rodolfo Barragan (Green)[69]
California 41,D+12,Mark Takano,Democratic,2012,Incumbent re-elected.,√ Mark Takano (Democratic)[69]
,,,,,,Aja Smith (Republican)[69]
California 42,R+9,Ken Calvert,Republican,1992,Incumbent re-elected.,√ Ken Calvert (Republican)[69]
,,,,,,Julia Peacock (Democratic)[69]
California 43,D+29,Maxine Waters,Democratic,1990,Incumbent re-elected.,√ Maxine Waters (Democratic)[69]
,,,,,,Omar Navarro (Republican)[69]
